row ID,row m/z,row retention time,ConditioningQC_neg_5.mzML Peak height,40TT5_neg_61.mzML Peak height,70TT1_neg_70.mzML Peak height,40TT_10M1_neq_18.mzML Peak height,ConditioningQC_neg_10.mzML Peak height,40TT_10M2_neq_16.mzML Peak height,ConditioningQC_neg_4.mzML Peak height,40TT3_neg_39.mzML Peak height,40TT1_neg_53.mzML Peak height,70TT6_neg_32.mzML Peak height,FreshJuice1_neq_24.mzML Peak height,70TT3_neq_14.mzML Peak height,ConditioningQC_neg_9.mzML Peak height,ConditioningQC_neg_3.mzML Peak height,40TT2_neq_22.mzML Peak height,HPP1_neg_33.mzML Peak height,FreshJuice3_neg_64.mzML Peak height,70TT4_neg_55.mzML Peak height,40TT_10M5_neg_40.mzML Peak height,40TT_10M4_neg_26.mzML Peak height,FreshJuice4_neg_38.mzML Peak height,FreshJuice6_neg_45.mzML Peak height,FreshJuice5_neg_73.mzML Peak height,40TT_10M6_neg_72.mzML Peak height,40TT4_neg_49.mzML Peak height,70TT7_neg_76.mzML Peak height,70TT5_neg_30.mzML Peak height,70TT2_neq_25.mzML Peak height,40TT6_neg_69.mzML Peak height,40TT_10M3_neg_46.mzML Peak height,FreshJuice_neq_17.mzML Peak height,SolventBlank4_neg_83.mzML Peak height,SolventBlank2_neg_2.mzML Peak height,FreshJuice2_neg_54.mzML Peak height,ProcessBlank2_neg_77.mzML Peak height,ProcessBlank1_neg_8.mzML Peak height,MEF_SS6_neg_75.mzML Peak height,SolventBlank1_neg_1.mzML Peak height,MEF_SS4_neg_68.mzML Peak height,MEF_SS5_neg_36.mzML Peak height,MEF_SS1_neg_56.mzML Peak height,MEF_SS2_neg_34.mzML Peak height,MEF_SS3_neg_52.mzML Peak height,MEF1_neg_41.mzML Peak height,MEF2_neg_60.mzML Peak height,QC11_neg_78.mzML Peak height,QC4_neg_28.mzML Peak height,QC10_neg_74.mzML Peak height,QC2_neg_13.mzML Peak height,MEF4_neg_29.mzML Peak height,MEF5_neg_50.mzML Peak height,MEF3_neg_44.mzML Peak height,QC9_neg_67.mzML Peak height,QC5_neg_35.mzML Peak height,QC6_neg_43.mzML Peak height,QC3_neq_20.mzML Peak height,QC7_neg_51.mzML Peak height,QC8_neg_59.mzML Peak height,HPP4_neq_21.mzML Peak height,US1_neq_23.mzML Peak height,QC12_neg_79.mzML Peak height,HPP6_neg_31.mzML Peak height,HPP5_neg_71.mzML Peak height,HPP2_neq_15.mzML Peak height,HPP3_neg_27.mzML Peak height,US2_neg_48.mzML Peak height,QC1_neg_12.mzML Peak height,US4_neg_65.mzML Peak height,US3_neg_47.mzML Peak height,UST6_neg_62.mzML Peak height,UST1_neg_37.mzML Peak height,UST2_neq_19.mzML Peak height,UST3_neg_57.mzML Peak height,US6_neg_66.mzML Peak height,US5_neg_42.mzML Peak height,UST5_neg_63.mzML Peak height,UST4_neg_58.mzML Peak height
4241,101.0243415,3.733034,11989.041,14313.549,13548.516,12497.315,11169.334,12438.483,9051.7705,12400.83,14355.027,13773.775,11588.516,12299.704,8470.06,7758.6875,10730.771,14136.287,13259.905,12916.5,13107.031,14763.145,12185.492,12958.809,15849.505,14218.656,12719.795,15183.031,12878.699,13254.074,13079.788,13698.029,13639.03,8048.2163,0,14183.2,8274.916,3579.666,13699.914,1310.541,14002.631,12793.029,12727.404,12420.792,13007.35,11517.971,12365.194,13017.464,13091.289,14807.128,11575.135,12500.795,12853.299,12847.375,15726.5625,11368.141,11684.621,11785.387,13929.854,13557.606,11980.8,10056.785,13128.481,12441.083,15443.553,13136.76,12238.829,11686.347,10228.097,13604.195,12157.192,15430.14,11430.894,10977.288,13131.132,14712.35,13229.456,13716.507,12769.41
5674,101.0243469,6.718164,5993.882,7273.0366,8203.735,7062.5054,5475.484,7121.5083,5127.9043,7806.7915,7570.347,9810.203,7115.576,6433.958,5102.7856,5591.0015,7231.828,7394.8467,9016.489,7816.3657,7709.5977,8590.908,7940.0864,8676.805,9411.06,8872.187,8109.1245,9604.258,7297.0137,7217.5664,8348.025,7809.528,7014.6816,6772.348,0,7778.5493,5793.471,3057.046,8113.1577,0,7917.1113,7799.6196,6702.9478,7425.6343,7911.469,7144.001,7807.861,9006.657,8598.065,7943.125,6077.8784,8167.2637,7793.2095,7120.5405,7850.011,7240.175,7851.485,6602.8857,8358.907,8120.078,6605.4775,7769.301,7963.07,7304.92,8297.802,8248.571,9502.57,7162.5605,5695.5757,7733.661,7435.7866,7489.514,6463.926,6487.854,7718.15,8538.917,7660.624,9418.542,7884.6787
5531,101.0243502,6.3162527,6065.4746,8725.648,10531.211,8664.43,5771.9033,8670.293,7970.951,8734.274,9963.48,7874.2173,7613.779,6875.7583,4840.243,5051.5933,7189.4897,8959.353,9027.262,8584.347,9124.718,7138.5903,7757.525,8523.957,9564.38,8797.679,8283.008,9580.344,8441.326,8044.872,8487.058,9761.165,8770.624,5983.8867,0,8288.22,6496.707,2567.965,8395.945,0,8607.639,7428.435,8304.097,7728.6694,10016.288,8511.233,8196.1455,8844.902,8502.484,9222.218,7151.166,8736.112,9950.635,8152.698,8700.661,9372.571,8295.947,6850.8003,8013.5044,9290.648,8072.632,6592.2236,9321.84,8401.266,9920.166,7345.1377,8654.314,8046.037,7843.73,9687.672,9967.295,8058.086,7126.2183,6870.346,8507.837,8832.532,8310.666,8711.881,8404.525
380,101.0243968,0.29074568,172577.14,149604.06,178519.48,143621.77,180056.97,188070.1,166500.73,162228,190141.2,174956.47,198713.06,194374.86,167938.03,190060.52,189555.19,214758.56,198543.81,167268.73,186841,172529.92,160366.64,149331.52,175815.17,135864.77,158097.1,176427.19,186694.92,163209.3,136363.94,142866.3,167084.5,8827.101,5023.86,179210.95,38578.414,36216.48,93787.99,3935.481,139560.5,110431.664,58798.03,143116.98,46469.543,79660.414,41025.484,192460.8,170057.88,164377.33,193138.14,92021.99,101450.58,87391.52,179212.98,138708.5,110561.1,160668.55,152970.47,195846.64,164069.62,137718.64,189006.78,170312.12,110872.59,166951.98,191494.83,184917.61,198748.42,206731.88,153792.4,148867.03,197549.56,200853.94,187084.94,200545.4,209722.94,189542.48,146986.45
345,101.0293768,0.32149076,9318.53,7823.426,7469.719,0,8552.816,6636.2046,8132.2974,6439.374,9150.244,9580.913,6805.0684,8802.522,9291.818,7887.33,7357.439,5406.45,7138.783,6745.4795,5630.096,7456.335,0,7787.5986,7504.919,7594.4927,8183.823,7758.618,6005.6455,6611.434,6610.147,8251.779,0,0,0,7000.599,0,0,7820.409,0,8948.365,8777.619,10169.941,8826.812,8788.721,7488.666,7470.797,8608.343,7660.1943,7795.1113,9659.396,8747.026,8277.0625,8700.775,6111.624,6851.1665,11990.682,9253.639,7161.4243,8842.679,8561.948,8141.2188,7004.206,9369.764,0,8692.591,8404.86,7212.39,8513.645,7097.8687,6168.0874,5847.746,8379.202,0,6566.2363,7065.1904,6365.109,8132.5796,5364.4463
837,101.030653,0.34133312,11303.333,7823.426,8503.936,8507.414,13672.215,13978.648,9068.651,7855.4604,11382.458,11280.278,7377.791,9637.875,9136.348,9060.084,8775.899,8146.5034,7392.21,8960.301,8326.738,8833.003,7158.169,8012.378,7396.1357,8329.374,10601.472,8765.085,8422.296,8088.5693,8591.168,9657.193,11366.44,0,0,6655.8486,2763.4182,2558.2817,7277.327,0,8808.931,8034.6255,8751.693,8826.812,8292.403,7488.666,7470.797,8608.343,8303.668,8079.7056,9580.286,7991.817,8277.0625,8700.775,8985.748,9432.83,7984.4155,10307.255,7364.8545,8842.679,9718.445,8141.2188,11931.211,9377.544,13952.834,11164.102,9424.363,7212.39,8513.645,7503.0117,8386.6875,6751.2866,8379.202,7883.396,12353.726,6313.8745,7523.6255,7526.1074,7357.458
1117,101.031013,0.47655594,9572.331,8427.208,8244.003,9484.701,8615.774,9494.004,9333.489,9834.222,9363.084,9327.584,8547.527,10050.119,9842.735,8240.395,7719.1113,9383.024,8658.02,8361.456,7888.324,9419.192,8136.0547,8229.951,7593.521,9404.909,8474.442,8082.835,9399.726,8509.632,8306.258,9371.131,8795.137,0,0,7438.8506,0,0,7016.1724,0,8172.0806,9413.469,7615.631,7004.5293,8202.77,8824.8125,8653.748,8815.116,9282.368,8232.875,9580.286,7171.204,8758.964,8239.571,8677.373,8633.881,7984.4155,8154.922,8479.082,8855.811,8911.48,7465.1865,8759.166,10058.906,7408.554,9670.398,9255.126,8023.8364,10068.69,9500.762,9403.362,8387.278,7765.137,8615.376,7402.0483,7409.745,8841.52,8210.517,8548.645
3,102.9487364,0.23516206,3952.7969,2943.5332,2577.4368,2243.558,6274.81,16201.8,2294.1445,13001.285,2629.1096,2579.0024,16067.797,4132.0083,3193.399,2794.7712,14125.866,9600.111,16194.958,2850.4312,13717.393,2386.9497,2709.7625,14473.57,13999.216,13703.876,3288.8987,13216.645,4951.9497,3048.3154,3203.4778,14112.399,3073.1938,14866.514,12418.786,3356.1064,26241.305,26393.777,14039.181,9161.672,2745.038,15645.677,2405.5505,4480.178,14831.685,2702.0474,13315.045,3531.8325,12738.865,12452.409,17604.479,3539.8535,1862.4746,3712.9202,2673.9275,2852.0571,13212.563,12691.629,3322.8252,2577.3555,3512.8066,3721.6396,2367.1138,2629.6501,3917.3916,3358.0261,12247.833,11892.444,2946.2163,13213.096,13647.949,3207.254,13876.362,4605.88,5102.7095,14066.787,3734.0513,3529.157,4473.5986
119,102.9567114,0.27221835,12907.116,11162.753,12025.482,9485.473,13776.86,8838.111,13823.66,11329.694,8280.142,18066.184,8976.878,9211.971,12111.114,10964.472,9259.22,10087.652,11086.416,8506.344,9411.309,14038.186,12785.613,13258.596,12666.425,12391.832,10089.292,7570.8984,9126.602,9356.408,10987.435,9783.933,15707.972,24438.947,24509.428,10380.333,23328.414,23476.088,8521.286,21670.867,13023.346,9720.608,8537.495,11494.8955,10055.027,10585.821,8532.086,10887.812,10604.807,12110.517,9803.773,10772.52,10003.548,11832.985,8024.785,14236.147,12091.193,11361.105,10783.145,10359.514,12769.975,6252.016,11413.614,14535.475,9341.843,14049.582,12609.813,6265.0605,8558.103,7790.1284,11434.43,10328.432,7748.4395,11479.027,11065.9795,9720.829,8862.8125,9614.451,11268.28
456,102.9902813,0.29560146,0,0,0,0,0,0,230613.53,0,0,0,0,0,194326.11,199664.05,0,0,0,0,0,0,0,0,0,0,1107.4727,0,0,0,0,0,0,0,0,0,0,0,251330.47,0,264745.3,270172.47,249306.95,299669.4,249796.36,417101,354943.16,0,0,174115.28,186927.03,377528.75,402268.7,395708.7,167325.36,221757.5,0,0,183497.23,205329.5,0,0,169857.81,0,0,0,0,0,185457.45,0,0,0,0,0,0,0,0,0,0
457,102.997445,0.29996306,0,0,0,4760.942,0,0,16479.719,0,0,0,0,0,13182.019,14322.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16523.318,0,18988.697,17038.416,14903.745,19342.111,15930.431,25953.287,21112.627,0,0,10928.979,12291.497,24730.36,23814.766,23281.16,10822.929,14960.835,0,0,12839.17,13038.97,0,0,10878.848,0,0,0,0,0,12147.27,0,0,0,0,0,0,0,0,0,0
414,103.0014569,0.31339315,216167.56,15994.665,85076.92,4173.629,202505.06,76193.484,172486.95,122739.195,71208.63,5274.439,77557.055,146640.55,203541.14,169445.8,124021.77,53602.223,127741.94,124024.22,1995.3462,119935.29,0,107321.77,122146.01,114352.5,112474.36,118243.59,120832.29,120202.5,129584.164,113576.04,2546.7954,0,0,92270.29,0,0,338009.06,0,322304.38,341059.62,327253.53,337289.2,311557.9,105840.56,102439.16,184865.58,71847.51,213074.34,240552.39,301173.75,215795.86,191593.3,28549.637,34712.6,177965.08,217598.23,213483.5,180356.25,114918.234,115956.73,199758.92,116396.55,92060.78,111502.234,104651.76,75818.65,173371.48,66358.79,23849.133,10948.773,7620.3306,3132.676,116885.54,118396.14,55236.01,120312.14,1758.4719
1002,103.0029624,0.44353124,36532.395,4968.973,6882.851,8252.903,38491.516,4520.2207,35583.58,7241.4604,5762.302,5634.052,5503.039,5924.003,34432.05,36049.89,5945.5127,5559.6943,6064.336,5451.489,5544.878,5130.7905,6654.931,6015.914,5728.873,5407.9385,4533.8545,5276.8716,5766.8843,5150.245,6193.609,5644.169,5715.5254,0,0,6453.0176,0,0,138355.11,0,144815.81,150782.48,107201.47,125705.734,122633.57,98048.31,89971.48,32977.844,32079.13,29320.469,33241.78,105501.15,104372.734,96789.75,32866.582,32008.51,32741.691,33371.656,28690.746,29383.705,5977.8516,4942.7188,30704.479,6015.108,6830.2197,8012.1094,5889.1216,5222.826,34472.633,4830.4824,6675.2563,5344.0127,4874.555,4847.3203,5619.088,5329.6016,7544.78,5785.1304,6445.218
222,103.0036541,0.29668775,182252.17,141233.9,132359.3,127933.75,174102.55,130579,161822.34,145760.23,120667.75,124063.836,141466.25,92611.16,82615.77,175355.19,134290.44,131826.92,132614,137912.19,140135.72,137581.84,150001.56,141075.92,145874.27,141964.19,143294.03,120925.61,132482.92,143620.62,143521.28,154243.06,147130.16,0,0,139698.17,0,1212.9586,78862.586,0,81487.2,72980.82,15704.982,81225.055,82601.74,7463.4214,11385.655,110864.29,240741.86,198831.25,159893.28,69455.66,109913.33,28403.336,224877.48,173945.5,217782.98,187823.66,64492.41,162998.11,142534.78,126114.07,106024.33,138430.19,133127.48,147209.81,144969.12,122222.21,196713.61,125369.734,138234.12,138172.39,134936.8,131935.31,135920.23,139664.81,130711.77,130213.664,147196.77
492,103.0086145,0.30785796,13535.695,1430.6984,5580.301,0,14097.48,5636.628,11909.213,8833.68,5425.385,0,5552.82,12158.349,13309.896,13115.069,10053.423,4395.222,7826.865,9727.355,0,8941.296,0,7776.8,8739.635,0,8445.342,8183.4365,9247.208,7893.446,8483.923,8642.004,0,0,0,6561.1255,0,0,21483.422,0,20548.422,21645.686,21247.734,18623.918,20251.693,8001.3774,6833.2856,11516.666,4908.445,12052.757,15177.707,18302.229,12891.752,11865.978,2012.2252,1950.2158,11493.778,14509.031,12833.992,12952.164,7944.126,8767.9375,11376.627,8731.043,6858.4517,8308.229,7040.3135,5786.1914,11129.044,3855.3713,2044.7609,1239.9773,0,0,6781.1235,7697.4146,3905.325,8222.079,0
630,103.0383664,0.36230272,15761.806,23254.77,16534.307,16472.572,16288.117,14905.289,15196.551,17399.97,21787.188,16468.508,16517.436,13016.025,15696.294,13138.859,19319.592,17577.291,17539.24,17262.656,14776.216,19719.168,17290.197,15973.127,16051.921,20082.85,20690.697,18507.533,18934.926,15564.054,20457.504,22339.986,15803.066,0,0,15374.25,0,0,20806.062,0,24911.232,19045.834,22633.482,18837.61,21290.707,18258.979,22226.623,24226.303,18320.91,24648.373,16558.547,20838.006,23128.023,19543.637,21117.494,21270.816,20083.93,17749.943,20409.113,22707.951,17802.13,14041.214,20504.596,19435.893,22017.242,17805.32,10678.527,16463.15,15782.131,19209.154,18759.887,18648.988,16952.227,12698.664,17260.334,16028.225,15298.809,17745.56,16247.936
854,103.0396303,0.3544425,15761.806,21298.473,22201.574,18611.943,15849.703,19076.14,12464.949,21418.174,25013.768,19652.22,18924.652,18729.998,17250.773,13984.466,19319.592,19921.242,18406.055,20694.453,23682.225,21650.729,18125.309,17754.904,19278.055,23637.316,20690.697,24042.244,20033.016,20020.06,19320.44,22790.52,14892.183,0,0,17892.006,0,0,20806.062,1156.9688,20157.016,19045.834,20884.375,18837.61,19296.285,15507.079,21071.3,20551.393,18320.91,20348.014,16573.674,19942.162,18339.557,17526.396,22405.793,21270.816,19928.35,18211.693,20409.113,20950.793,20969.39,16311.002,19353.479,21692.791,22033.898,22095.566,21705.564,19891.41,16666.701,23253.469,23041.816,21207.793,18348.557,15577.923,21357.182,21805.32,17960.664,22589.375,19787.756
1236,103.0396803,0.6196753,10516.282,12138.644,12108.533,13187.788,9969.085,11429.843,11292.025,10846.519,10572.748,9999.114,9967.183,11320.433,10330.885,8212.654,11672.727,10893.547,12855.381,11447.149,11482.442,10191.582,11750.683,11358.096,11249.017,11642.332,12474.137,12526.583,11721.831,11964.984,13757.706,11921.094,9819.904,1684.2574,0,11333.485,0,0,12049.568,0,13099.057,11585.586,11545.583,11775.72,10901.172,12500.639,12230.078,11952.636,10849.867,11118.909,10974.913,11335.165,11061.373,12551.357,12121.475,13257.588,12597.817,10701.168,11311.07,10977.234,10679.277,8837.373,11846.985,11831.002,11972.766,10295.338,9930.398,13898.009,10235.4375,11305.52,11145.592,14821.78,11875.146,9412.473,11194.23,15942.525,12312.67,10723.556,13444.002
1491,103.0399287,0.8554706,31322.865,34125.74,33376.35,30893.441,27620.996,34166.97,28769.691,34948.52,33243.06,36263.96,35929.832,31581.488,30961.787,27958.629,32161.082,36924.41,40659.77,38853.906,32685.723,31679.195,37305.44,35085.76,37681.727,34375.668,32557.387,35298.78,34393.95,34423.496,32544.281,34476.465,31385.924,0,0,32835.03,1319.2067,0,33399.496,0,34759.86,32863.043,36097.387,33879.04,31830.566,32430.488,33688.016,33610.55,35111.06,35754.184,34678.62,32059.37,34261.277,33472.96,35688.137,32912.953,35238.523,31995.611,33527.707,35957.58,37156.01,25058.086,32562.033,35364.6,37631.01,33323.426,39639.574,27467.873,30597.533,35889.83,32942.773,37131.71,29649.693,33274.36,34286.59,32297.342,37023.742,36676.707,35782.96
1624,103.0399436,1.0099703,10160.512,3781.3333,3706.026,3598.3767,11863.386,2895.6738,11297.397,3669.9705,3689.1147,3868.6995,4503.347,4329.462,9226.627,11844.368,3432.9595,4365.6816,3371.4866,3043.3997,3917.4402,5082.2505,5895.618,4466.576,4230.0425,4444.892,5094.7686,4036.5063,3863.8813,3871.1177,4069.5112,4274.3896,4416.3755,1256.629,0,4375.231,0,0,38267.062,0,36940.477,38685.97,29375.85,38049.652,34569.26,30816.254,32402.424,8911.093,9360.434,9519.643,9301.753,35369.363,40683.906,36234.1,11365.7705,8974.694,10566.905,11381.731,11142.563,11456.473,4301.007,2599.1853,8796.991,3310.1855,4675.4873,3256.8535,4095.2754,3520.5493,9318.21,3630.144,3509.1,3527.215,3250.6807,4168.7427,3260.362,3414.82,3392.7212,4140.2505,4616.2837
